"sub_id","settlement_day","first_category_name","second_category_name","third_category_name","spu_id","vendor_id","vendor_name","store_id","sales_value","profit","sales_quantity"
"1","1/1/2025","酒水饮料","果汁饮料","果味风味饮料","2761","1002629","四川省智合海供应链管理有限公司(优食汇客)","127376","45.8","2.8","2"
"1","1/1/2025","蔬菜水果","根茎类","山药","1385","1000331","蔬菜供应（山药）","36224","14.95","2.95","5"
"1","1/1/2025","冻品","鸭副类","鸭胗","1479","1001455","POP四川毅源供应链有限公司","309546","198","18","6"
"1","1/1/2025","冻品","猪副类","五花肉","1587","1003001","嘉成睿丰食品经营部","398552","127","6.99","1"
"1","1/1/2025","蔬菜水果","菌菇类","香菇","1430","1002425","甄优鲜果熟销售部","256778","19.5","4.5","3"
"1","1/1/2025","鲜肉蛋","蛋类","带壳鹌鹑蛋","2788","1002935","四川九升(优食汇客)","374500","89.6","12","4"
"1","1/1/2025","蔬菜水果","特菜类","特菜类","2378","1000317","海椒市自采","322304","30","2.5","5"
"1","1/1/2025","蔬菜水果","调味类","蒜类","1448","1000229","蔬菜供应（姜蒜）","436786","30","2","1"
"1","1/1/2025","蔬菜水果","根茎类","萝卜","1381","1000584","蔬菜供应商(白萝卜)","179627","3.081","0.741","3.9"
"1","1/1/2025","蔬菜水果","调味类","蒜类","1448","1000229","蔬菜供应（姜蒜）","375663","29","1","1"
"1","1/1/2025","酒水饮料","乳饮/牛奶","植物蛋白饮料","2657","1001966","金牛区聚未来酒水经营部（原好玖来食品）","335404","39.9","4.9","1"
"1","1/1/2025","蔬菜水果","根茎类","藕","1383","1001223","吾悦广场自采","349203","42.78","0.93","9.3"
"1","1/1/2025","蔬菜水果","茄果豆类","冬瓜","1368","1000977","蔬菜供应（颜氏）优食汇客","303466","26.999","2.842","28.42"
"1","1/1/2025","蔬菜水果","水果类","枣类","2538","1001953","蔬菜供应（水果-赵）优食汇客","412427","22.5","5","5"
"1","1/1/2025","蔬菜水果","茄果豆类","玉米","1379","1000332","蔬菜供应（玉米豌豆）优食汇客","95991","5.733","1.521","2.34"
"1","1/1/2025","蔬菜水果","水果类","圣女果","2389","1001953","蔬菜供应（水果-赵）优食汇客","352169","3.9","0.9","1"
"1","1/1/2025","冻品","鸡副类","去骨鸡腿肉","1466","1003037","彭州市九尺镇睿然食品经营部","429579","142","7","1"
"1","1/1/2025","蔬菜水果","菌菇类","针菇类","1419","1000691","九里堤自采","57454","13.5","1.5","3"
"1","1/1/2025","蔬菜水果","茄果豆类","西红柿/番茄","1371","1000225","蔬菜供应（唐老板）优食汇客","323041","8.2418","2.1518","4.06"
"1","1/1/2025","酒水饮料","啤酒","普通啤酒","2726","1002464","武侯区击达速配商贸部","329557","84.9","3.9","1"
"1","1/1/2025","海鲜水产","传统水发","黄喉","2842","1001946","掌厨水发供应（小蓉水产）","119662","48","6","2"
"1","1/1/2025","米面粮油","面粉","通用粉","2756","1000443","蜀辉龙口","408824","204","14","1"
"1","1/1/2025","蔬菜水果","调味类","姜类","1445","1000229","蔬菜供应（姜蒜）","387189","16.89","3.39","3"
"1","1/1/2025","蔬菜水果","根茎类","藕","1383","1001139","蔬菜藕供应（蒋）优食汇客","346592","40.0499","6.6419","10.44"
"1","1/1/2025","鲜肉蛋","蛋类","普通蛋","2458","1000343","鸡蛋供应","71987","42.56","2.56","2"
"1","1/1/2025","蔬菜水果","叶菜类","芹菜","1408","1001955","掌厨录超农业合作群优食汇客","329127","20.368","0.608","3.04"
"1","1/1/2025","海鲜水产","毛肚鲜货","千层肚","2027","1002445","重庆凯鸿食品","395589","52","6","2"
"1","1/1/2025","调味品","香辛料","胡椒","1696","1001910","郫都区易香源干杂经营部","320767","19.98","2.98","2"
"1","1/1/2025","冻品","生制预制菜","冒菜/麻辣烫","2672","1002971","郫都区新美源食品经营部（D304）","394954","70.62","4.62","2"
"1","1/1/2025","蔬菜水果","调味类","香葱/小葱","1446","1000339","蔬菜供应（葱类-杨老板）","430188","10.2336","1.9136","1.04"
"1","1/1/2025","蔬菜水果","根茎类","折耳根","1387","1002310","双流缘来蔬菜批发部","432023","4.1","0.9","1"
"1","1/1/2025","酒水饮料","啤酒","精酿啤酒","2626","1001795","四川明鑫酒业有限公司","423270","119","13","1"
"1","1/1/2025","冻品","猪副类","猪心舌肚肝","1579","1001138","五星猪副","236288","108","10","1"
"1","1/1/2025","冻品","鸡副类","鸡翅尖","2178","1000245","奥博食品","413614","60","5","5"
"1","1/1/2025","蔬菜水果","茄果豆类","菜花类","1370","1001954","掌厨网本地菜-茄果类(苏老板)优食汇客","40215","23.0204","5.7304","4.94"
"1","1/1/2025","米面粮油","食用油","大豆油","2750","1002821","四川仟方月商贸有限公司","138133","48.5","1.7","1"
"1","1/1/2025","蔬菜水果","叶菜类","韭菜类","2366","1002434","TP成都海小螺供应链管理有限公司","343613","8.988","1.498","2.14"
"1","1/1/2025","蔬菜水果","叶菜类","娃娃菜","2360","1001955","掌厨录超农业合作群优食汇客","298924","3.9","1","1"
"1","1/1/2025","蔬菜水果","调味类","姜类","1445","1000229","蔬菜供应（姜蒜）","350374","4.876","0.736","0.92"
"1","1/1/2025","蔬菜水果","叶菜类","芹菜","1408","1001951","掌厨蔬果供应（蒜苗/芹菜/大葱-王老板）优食汇客","434195","8.84","2.04","2"
"1","1/1/2025","蔬菜水果","调味类","香菜","1453","1001066","蔬果供应（葱类-刘老板）","436285","18.7844","2.6124","6.22"
"1","1/1/2025","蔬菜水果","根茎类","青笋/莴苣","1380","1002434","TP成都海小螺供应链管理有限公司","309438","28.4284","6.5604","9.94"
"1","1/1/2025","蔬菜水果","调味类","姜类","1445","1000229","蔬菜供应（姜蒜）","41861","19.7568","2.1168","3.92"
"1","1/1/2025","冻品","冷冻海产","其他贝类","2267","1000269","东盛水产","429164","180","10","2"
"1","1/1/2025","蔬菜水果","根茎类","青笋/莴苣","1380","1000227","蔬菜供应（青笋-苏）","244572","5.5328","1.2768","2.24"
"1","1/1/2025","蔬菜水果","根茎类","笋类","1390","1000772","蔬果供应(水发笋子)","15495","16.98","3.98","2"
"1","1/1/2025","冻品","虾饺鱼丸","水产类","2669","1002632","成都市辣手熊猫（优食汇客）","78484","584.46","14.46","2"
"1","1/1/2025","蔬菜水果","叶菜类","芹菜","1408","1002434","TP成都海小螺供应链管理有限公司","337723","15.498","1.89","3.78"
"1","1/1/2025","调味品","蚝油","桶装蚝油","2744","1002630","成都海问香供应链管理有限公司（优食汇客）","307749","27.5","2.25","1"
"1","1/1/2025","蔬菜水果","茄果豆类","青椒类","1362","1001949","掌厨青椒商家(侯老板)优食汇客","12004","5.94","1.54","2"
"1","1/1/2025","蔬菜水果","茄果豆类","南瓜","1367","1000977","蔬菜供应（颜氏）优食汇客","428775","9.1168","0.8288","5.18"
"1","1/1/2025","蔬菜水果","叶菜类","菜尖","2361","1002434","TP成都海小螺供应链管理有限公司","166310","9.027","2.295","3.06"
"1","1/1/2025","蔬菜水果","根茎类","薯","1389","1000331","蔬菜供应（山药）","412851","31.8032","7.3392","11.12"
